出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","06285U","T50正2中信5A售01","0.00","0"
"1150529","1150529","06286U","台積電中信5A售02","0.00","0"
"1150529","1150529","063110","台達電中信64購01","274250.00","149000"
"1150529","1150529","063107","元石油中信64購01","0.00","0"
"1150529","1150529","063108","S&P反1中信64購01","0.00","0"
"1150529","1150529","063109","SGBR2X中信64購02","52440.00","114000"
"1150529","1150529","063112","臻鼎中信64購02","57900.00","20000"
"1150529","1150529","063111","聯鈞中信62購01","0.00","0"
"1150529","1150529","063149","中砂兆豐5C購01","2620.00","1000"
"1150529","1150529","063154","世芯兆豐5C購01","0.00","0"
"1150529","1150529","063157","世紀鋼兆豐64購01","912040.00","748000"
"1150529","1150529","063156","旭隼兆豐64購01","544280.00","395000"
"1150529","1150529","063153","大立光兆豐64購01","298810.00","65000"
"1150529","1150529","06329U","緯穎中信58售01","0.00","0"
"1150529","1150529","06328U","台達電中信58售04","0.00","0"
"1150529","1150529","063344","台達電中信62購01","709950.00","510000"
"1150529","1150529","063342","T50反1中信64購03","19700.00","60000"
"1150529","1150529","063341","T50正2中信64購05","446030.00","255000"
"1150529","1150529","063345","金像電中信64購01","132520.00","125000"
"1150529","1150529","063346","矽格中信5C購01","90720.00","72000"
"1150529","1150529","063340","台灣50中信64購02","102990.00","53000"
"1150529","1150529","063332","台達電兆豐5C購01","59850.00","20000"
"1150529","1150529","063347","啟碁中信62購01","18200.00","10000"
"1150529","1150529","06330U","臺股指中信5A售01","0.00","0"
"1150529","1150529","063343","臺指2X中信64購01","0.00","0"
"1150529","1150529","063348","臺股指中信63購04","2017220.00","700000"
"1150529","1150529","082641","臺指反中信5C購01","0.00","0"
"1150529","1150529","082488","辛耘兆豐56購01","0.00","0"
"1150529","1150529","082639","T50正2中信56購01","0.00","0"
"1150529","1150529","082640","T50反1中信56購01","0.00","0"
"1150529","1150529","083077","中磊兆豐56購01","0.00","0"
"1150529","1150529","083423","世紀鋼兆豐56購01","0.00","0"
"1150529","1150529","083282","ITH兆豐56購01","0.00","0"
"1150529","1150529","083622","台表科兆豐56購01","22400.00","4000"
"1150529","1150529","08366U","奇鋐中信58售04","0.00","0"
"1150529","1150529","084197","日電貿兆豐56購01","0.00","0"
"1150529","1150529","051777","台光電兆豐58購01","0.00","0"
"1150529","1150529","040342","亞翔兆豐56購01","0.00","0"
"1150529","1150529","040334","臺股指中信59購04","0.00","0"
"1150529","1150529","040519","亞翔中信57購01","0.00","0"
"1150529","1150529","040518","長榮中信5A購01","0.00","0"
"1150529","1150529","040520","力積電中信5A購01","421490.00","102000"
"1150529","1150529","040521","力積電中信5A購02","15150.00","3000"
"1150529","1150529","040517","台積電中信5A購03","22820.00","9000"
"1150529","1150529","040768","元金2X中信5A購02","0.00","0"
"1150529","1150529","040773","南電中信5A購01","23000.00","3000"
"1150529","1150529","040770","景碩中信56購01","0.00","0"
"1150529","1150529","040772","緯穎中信5A購01","17660.00","12000"
"1150529","1150529","041196","台灣50兆豐5A購01","0.00","0"
"1150529","1150529","040983","台灣50中信5A購01","155100.00","10000"
"1150529","1150529","040985","T50反1中信64購02","2400.00","20000"
"1150529","1150529","040984","T50正2中信5A購02","0.00","0"
"1150529","1150529","041212","元金2X中信5A購03","0.00","0"
"1150529","1150529","041439","台積電中信5A購06","247700.00","78000"
"1150529","1150529","041210","元黃金中信5A購01","24950.00","71000"
"1150529","1150529","041214","世芯中信5A購02","4800.00","2000"
"1150529","1150529","041216","昇陽半中信5A購01","259050.00","98000"
"1150529","1150529","041438","鴻海中信5A購01","1038110.00","1535000"
"1150529","1150529","041211","臺指2X中信5A購01","34000.00","5000"
"1150529","1150529","041665","緯創中信56購01","0.00","0"
"1150529","1150529","041667","創意中信5A購01","65600.00","11000"
"1150529","1150529","041659","鴻海中信5A購03","104520.00","151000"
"1150529","1150529","041660","鴻海中信5A購04","891360.00","1064000"
"1150529","1150529","041639","大立光兆豐56購01","39500.00","10000"
"1150529","1150529","041669","緯穎中信5A購02","142620.00","194000"
